camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ6061,1.61039096978031,1.870171048305636,0.88,0.6612903225806451,-0.13687081532215772,0.5130570373961154,0.6347451086822203,unchange
CAMPSQ6063,1.5590664214760712,1.4772395126397944,0.88,0.5806451612903226,0.04688423079705448,0.30418674883475394,0.4243932770318965,unchange
CAMPSQ6064,0.7463788063981364,0.630490345765755,0.72,0.3225806451612903,0.0990606285483638,0.1268818289817095,0.21115266892008624,unchange
CAMPSQ6065,1.4483654582879464,2.4802005465839185,0.96,0.9193548387096774,-0.5073515240249289,3.517917764958357e-5,4.561785886803477e-4,unchange
CAMPSQ6066,1.2792105282284816,1.1856574421797237,0.76,0.4516129032258064,0.06046688563731208,0.27104726124863476,0.38911337297721754,unchange
CAMPSQ6068,0.6463226425634868,0.10727588378046904,0.56,0.06451612903225806,0.5722323773716251,1.369695099436739e-6,3.839296869633284e-5,unchange
CAMPSQ6069,0.7980356680627368,0.7237904737172945,0.64,0.3225806451612903,0.06083721434466557,0.19489459521120717,0.29659034916978333,unchange
CAMPSQ607,0.11997740123601094,0,0.12,0,0.1634696220563919,0.0060588713424739,0.02050410728703057,unchange
CAMPSQ6070,1.6982128172793949,1.7001804569698025,0.84,0.6290322580645161,-0.00105168482735601,0.5971398489756743,0.6930468747775637,unchange
CAMPSQ6072,0.03219315895372234,0,0.04,0,0.04571297404476785,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ6073,1.1325841781448884,0.2743230701226409,0.72,0.16129032258064516,0.7428716090109231,2.486065402007085e-6,6.0251803411088745e-5,unchange
CAMPSQ6074,1.3465260392982383,1.5433809958836004,0.68,0.532258064516129,-0.11622112248506404,0.9805289112758172,0.9860884065946832,unchange
CAMPSQ6075,0.22094198149205377,0.08498183263692964,0.2,0.04838709677419355,0.17032376004167324,0.03695559912776915,0.0855667814597909,unchange
CAMPSQ6076,0.45746247574786825,0.4513499019759007,0.4,0.24193548387096775,0.00606336312100275,0.4594651233855026,0.5821989577145067,unchange
CAMPSQ6077,0.7797693892156864,0.34377661106918345,0.64,0.14516129032258066,0.405396993434053,1.1750124530330664e-4,0.00107435240763319,unchange
CAMPSQ6078,0.05053695514845231,0,0.04,0,0.07112691315008782,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ6080,0.9480761206648864,0.41725706634306614,0.76,0.2258064516129032,0.45894858917682985,3.9564640656057176e-4,0.00261409232906092,unchange
CAMPSQ6081,0.5124995019902913,0.6339272148777855,0.52,0.27419354838709675,-0.11140905108303044,0.3330363043536318,0.4578527344965708,unchange
CAMPSQ6082,0.06602087892252596,0,0.08,0,0.0922356947790812,0.02628655227155814,0.06472509543351716,unchange
CAMPSQ6084,0.02707092582566324,0,0.04,0,0.03853581242903741,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ6085,0.5969334961621899,1.01085211998081,0.48,0.4838709677419355,-0.3325027549703101,0.15866351567394038,0.2499524586972379,unchange
CAMPSQ6086,0.8188789461358852,0.9763406950754532,0.84,0.4838709677419355,-0.11978214105869038,0.9031921385902614,0.9350338312210316,unchange
CAMPSQ6087,1.176102136739502,1.8089093153401512,0.84,0.7741935483870968,-0.36826377632093293,0.00333842943936735,0.01359375156895732,unchange
CAMPSQ6090,0.21564956708346175,0.16125266514128944,0.24,0.0967741935483871,0.06604549816349853,0.1478178243333168,0.23758729367214257,unchange
CAMPSQ6091,0.5576386118989809,0.6089434449236854,0.52,0.25806451612903225,-0.04675306337472732,0.23816894657022325,0.34941518727590243,unchange
CAMPSQ6092,0.07522838530383433,0,0.08,0,0.1046431299076286,0.02628655227155814,0.06472509543351716,unchange
CAMPSQ6093,0.21148863744512816,0,0.24,0,0.2767808738124217,7.470753396691767e-5,7.58001487232894e-4,unchange
CAMPSQ6096,0.03248071457572066,0,0.04,0,0.04611483419114528,0.12128522155214529,0.20478642519452575,unchange
